#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
41109  34.484  -77.300 2014 06 17 01 42  MM    MM    MM  0.8   3  3.4 203     MM    MM    MM  25.8    MM   MM     MM
41110  34.141  -77.709 2014 06 17 01 40  MM    MM    MM  0.7   3  3.6 179     MM    MM    MM  25.6    MM   MM     MM
41112  30.709  -81.292 2014 06 17 01 52  MM    MM    MM  0.5   8  4.3 105     MM    MM    MM  27.3    MM   MM     MM
41113  28.400  -80.533 2014 06 17 01 39  MM    MM    MM  0.4  11  3.6  87     MM    MM    MM  27.1    MM   MM     MM
41114  27.551  -80.220 2014 06 17 01 55  MM    MM    MM  0.5  12  3.6  67     MM    MM    MM  26.4    MM   MM     MM
41139  20.01   -37.85  2014 06 17 00 00  90   6.2    MM   MM  MM   MM  MM 1021.8    MM  24.2  24.5    MM   MM     MM
41670  30.19   -42.83  2014 06 17 01 30  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  23.9    MM   MM     MM
41852  27.07   -42.26  2014 06 16 23 30  MM    MM    MM   MM  MM   MM  MM     MM    MM    MM  24.5    MM   MM     MM
41933  27.78   -73.89  2014 06 17 01 00  MM    MM    MM   MM  MM   MM  MM 1020.1  +0.0    MM  28.0    MM   MM     MM
42012  30.065  -87.555 2014 06 17 01 50 200   3.0   4.0  0.5   5  4.1 158 1019.7  +0.7  27.8  29.0  27.8   MM     MM
42020  26.968  -96.694 2014 06 17 01 50 140   9.0  11.0  1.6   7  4.9 121 1014.1  -0.0  28.1  28.0    MM   MM     MM
42036  28.500  -84.517 2014 06 17 01 50 360   1.0   1.0  0.4   5  4.0 159 1019.8  +1.1  26.9  27.7  23.0   MM     MM
42039  28.794  -86.006 2014 06 17 01 50 190   4.0   4.0  0.5   5  4.3  MM 1020.2  +0.8  26.9  28.1  24.6   MM     MM
42040  29.212  -88.207 2014 06 17 01 50 150   4.0   5.0  0.6  MM  4.4 184 1020.0  +0.5  27.4  28.6    MM   MM     MM
42055  22.203  -94.000 2014 06 17 01 50  80   8.0  10.0  1.6   7  5.4 113 1014.7  +0.6  27.9  28.4  24.4   MM     MM
42056  19.802  -84.857 2014 06 17 01 50  80   7.0   9.0  1.4   6  5.0 125 1015.0  +0.9  28.7    MM  25.3   MM     MM
42057  17.002  -81.501 2014 06 17 01 50  70   7.0   9.0  1.6   9  5.6 118 1013.7  +0.7  28.1  27.9  25.4   MM     MM
42058  14.923  -74.918 2014 06 17 01 50  80  12.0  15.0  2.4   8  5.9  86 1011.5  -0.3  27.6  27.8  25.4   MM     MM
42059  15.186  -67.478 2014 06 17 01 50  90   9.0  11.0  1.5   7  4.8 101 1015.8  +1.0  27.8  27.8  24.4   MM     MM
42060  16.332  -63.240 2014 06 17 01 50  70   8.0   9.0  1.2   5  4.6  88 1016.7  +0.8  27.5  27.8  24.1   MM     MM
42085  17.860  -66.524 2014 06 17 01 00  80   8.0  10.0  1.2   7   MM  MM 1016.7  +1.1  29.5  28.2    MM   MM     MM
42099  27.340  -84.275 2014 06 17 01 52  MM    MM    MM  0.4   4  3.6 129     MM    MM    MM  27.7    MM   MM     MM
